"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"490508.per.ahlin","Per ÅHLIN (Per AHLIN)","06:30:15",9,"Sweden","SE",,"35-39","H"
"4812768.robin.bruder","Robin BRUDER","06:31:50",10,"Sweden","SE",,"20-34","H"
"4823376.erik.olsson","Erik OLSSON","06:35:55",11,"Sweden","SE",,"35-39","H"
"4812772.jan.wester","Jan WESTER","06:53:47",12,"Sweden","SE",,"40-44","H"
"209142.anders.gredin","Anders GREDIN","06:54:17",13,"Sweden","SE",,"35-39","H"
"1779493.peter.almroth","Peter ALMROTH","06:54:37",14,"Sweden","SE",,"40-44","H"
"4527946.martin.johansson","Martin JOHANSSON","06:55:27",15,"Sweden","SE",,"45-49","H"
"4812774.ilona.schouten","Ilona SCHOUTEN","06:56:02",16,"Sweden","SE",,"40-44","F"
"1658643.ola.petersson","Ola PETERSSON","07:06:52",17,"Sweden","SE",,"45-49","H"
"4692512.david.axenborg","David AXENBORG","07:07:29",18,"Sweden","SE",,"45-49","H"
"4812776.olle.noras","Olle NORÅS","07:12:07",19,"Sweden","SE",,"40-44","H"
"2397771.ellinor.flintberg","Ellinor FLINTBERG","07:13:02",20,"Sweden","SE",,"20-34","F"
"4812778.johanna.svenfelt","Johanna SVENFELT","07:14:04",21,"Sweden","SE",,"40-44","F"
"4200828.jorgen.nybrolin","Jörgen NYBROLIN","07:16:28",22,"Sweden","SE",,"40-44","H"
"4812780.wouter.gardeyn","Wouter GARDEYN","07:17:22",23,"Belgium","BE",,"40-44","H"
"4219577.tomedward.simonsen","Tom Edward SIMONSEN","07:19:40",24,"Norway","NO",,"20-34","H"
"2271381.hampus.nordin","Hampus NORDIN","07:19:47",25,"Sweden","SE",,"20-34","H"
"4200837.jonas.andraejohansson","Jonas ANDRAE JOHANSSON","29:51:01",1,"Sweden","SE",,"50-54","H"
"1355779.joe.walfridson","Joe WALFRIDSON","29:51:02",2,"Sweden","SE",,"45-49","H"
"911675.erik.edespong","Erik EDESPONG","30:35:37",3,"Sweden","SE",,"35-39","H"
"4727734.gustav.pettersson","Gustav PETTERSSON","30:53:56",4,"Sweden","SE",,"35-39","H"
"1110655.yann.hellman","Yann HELLMAN","30:54:29",5,"Sweden","SE",,"35-39","F"
"574284.henrik.nystrom","Henrik NYSTRÖM",,,"Sweden","SE",,"40-44","H"
"3387131.johan.dalenius","Johan DALENIUS",,,"Sweden","SE",,"40-44","H"
"4812750.alfons.enell","Alfons ENELL","14:51:11",1,"Sweden","SE",,"U20","H"
"4379168.joel.rangsjo","Joel RANGSJÖ","17:27:16",2,"Sweden","SE",,"35-39","H"
"696455.martin.hanner","Martin HANNER","17:27:16",2,"Sweden","SE",,"40-44","H"
"2055535.anna.sogaardhanusova","Anna SOGAARD HANUSOVA","20:16:12",4,"Czech Republic","CZ",,"40-44","F"
"1620043.jessica.ahlborg","Jessica AHLBORG","23:01:32",5,"Sweden","SE",,"40-44","F"
"492303.peter.liljenfors","Peter LILJENFORS","23:01:32",5,"Sweden","SE",,"55-59","H"
"1631123.asa.rott","Åsa ROTT (Asa ROTT)","23:01:32",5,"Sweden","SE",,"20-34","F"
"4742286.lina.selvejer","Lina SELVEJER","23:14:39",8,"Denmark","DK",,"20-34","F"
"3009167.jonas.brondsel","Jonas BRØNDSEL","23:14:40",9,"Denmark","DK",,"20-34","H"
"4812752.dominique.siivonen","Dominique SIIVONEN","23:44:06",10,"Sweden","SE",,"40-44","H"
"533121.sofia.kay","Sofia KAY","26:23:32",11,"Sweden","SE",,"45-49","F"
"1619677.tommy.carlsson","Tommy CARLSSON","26:23:35",12,"Sweden","SE",,"55-59","H"
"360582.jacob.nystrom","Jacob NYSTROM",,,"Sweden","SE",,"45-49","H"
"4812754.jenny.eliasson","Jenny ELIASSON",,,"Sweden","SE",,"20-34","F"
"4193494.jonas.englund","Jonas ENGLUND",,,"Sweden","SE",,"40-44","H"
"608876.julian.firpo","Julian FIRPO",,,"Sweden","SE",,"40-44","H"
"4812756.ludvig.hogbring","Ludvig HÖGBRING",,,"Sweden","SE",,"20-34","H"
"758585.alexandre.boucheix","Alexandre BOUCHEIX","15:14:50",1,"France","FR",,"20-34","H"
"1383203.guillaume.deneffe","Guillaume DENEFFE","15:43:11",2,"Belgium","BE",,"35-39","H"
"551623.magnus.rabe","Magnus RABE","16:13:17",3,"Sweden","SE",,"35-39","H"
"831586.dennis.kallerteg","Dennis KALLERTEG","16:54:36",4,"Sweden","SE",,"20-34","H"
"493793.adam.kimble","Adam KIMBLE","17:33:32",5,"United States","US",,"35-39","H"
"1003179.johan.hartelius","Johan HARTELIUS","17:33:33",6,"Sweden","SE",,"40-44","H"
"1008471.mario.weiss","Mario WEISS","17:48:33",7,"Austria","AT",,"40-44","H"
"665600.claes.christensson","Claes CHRISTENSSON","17:54:18",8,"Sweden","SE",,"35-39","H"
"202133.ry.webb","Ry WEBB","18:18:30",9,"United Kingdom","GB",,"35-39","H"
"1157897.claire.bannwarth","Claire BANNWARTH","18:21:10",10,"France","FR",,"20-34","F"
"665723.johanna.bygdell","Johanna BYGDELL","18:33:15",11,"Sweden","SE",,"40-44","F"
