"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"1843259.magnus.linde","Magnus LINDE","12:42:11",1,"Sweden","SE",,"35-39","H"
"1243141.christian.malmstrom","Christian MALMSTROM","14:21:02",2,"Sweden","SE",,"40-44","H"
"2271131.martin.lindahl","Martin LINDAHL","15:42:13",3,"Sweden","SE",,"35-39","H"
"986679.anders.ahlgren","Anders AHLGREN","16:13:20",4,"Sweden","SE",,"55-59","H"
"2439841.jonas.eklof","Jonas EKLÖF","16:13:21",5,"Sweden","SE",,"45-49","H"
"1016485.jonas.schimmele","Jonas SCHIMMELE","16:30:13",6,"Sweden","SE",,"45-49","H"
"3189877.johan.olsson","Johan OLSSON","16:45:30",7,"Sweden","SE",,"20-34","H"
"662047.christian.vartia","Christian VARTIA","17:14:42",8,"Sweden","SE",,"40-44","H"
"3789499.johan.andersson","Johan ANDERSSON","18:16:01",9,"Sweden","SE",,"20-34","H"
"1520453.oscar.cortes","Oscar CORTES","18:57:10",10,"Sweden","SE",,"45-49","H"
"3585621.leonardo.urbina","Leonardo URBINA","18:57:11",11,"Sweden","SE",,"35-39","H"
"1779555.david.elebring","David ELEBRING","21:59:30",12,"Sweden","SE",,"35-39","H"
"696345.line.kolbe","Line KOLBE","22:16:16",13,"Denmark","DK",,"40-44","F"
"551758.magnus.johansson","Magnus JOHANSSON",,,"Sweden","SE",,"45-49","H"
"1960331.tanja.hakansson","Tanja HÅKANSSON",,,"Sweden","SE",,"20-34","F"
"1111089.daniel.baath","Daniel BÅÅTH",,,"Sweden","SE",,"40-44","H"
"3923431.bjorn.tornqvist","Björn TÖRNQVIST",,,"Sweden","SE",,"40-44","H"
"1209539.john.nordfjall","John NORDFJÄLL",,,"Sweden","SE",,"45-49","H"
"662056.michael.fredriksson","Michael FREDRIKSSON",,,"Sweden","SE",,"50-54","H"
"2153541.sergiu.rus","Sergiu RUS","23:00:00",1,"Romania","RO",,"40-44","H"
"665357.pal.andersson","Pål ANDERSSON","23:15:00",2,"Sweden","SE",,"40-44","H"
"3377591.josefina.persson","Josefina PERSSON","23:45:00",3,"Sweden","SE",,"20-34","F"
"4011620.astrid.thomas","Astrid THOMAS",,,"Sweden","SE",,"20-34","F"
"4011621.stefan.burman","Stefan BURMAN",,,"Sweden","SE",,"20-34","H"
"4011622.christian.thomas","Christian THOMAS",,,"Sweden","SE",,"20-34","H"
"3371397.katharina.lang","Katharina LANG",,,"Germany","DE",,"20-34","F"
"3404325.kristoffer.jagestedt","Kristoffer JAGESTEDT",,,"Sweden","SE",,"35-39","H"
"2292039.johan.palmer","Johan PALMÈR",,,"Sweden","SE",,"35-39","H"
"673043.jens.larsson","Jens LARSSON",,,"Sweden","SE",,"45-49","H"
"2986837.rasyad.binmohdyosof","Rasyad BIN MOHD YOSOF",,,"Malaysia","MY",,"20-34","H"
"2519211.anna.andersson","Anna ANDERSSON",,,"Sweden","SE",,"40-44","F"
"1135847.niklas.lundgren","Niklas LUNDGREN",,,"Sweden","SE",,"35-39","H"
"2153561.carl.smith","Carl SMITH",,,"Sweden","SE",,"35-39","H"
"986679.anders.ahlgren","Anders AHLGREN",,,"Sweden","SE",,"55-59","H"
"2576705.niklas.hegfalk","Niklas HEGFALK",,,"Sweden","SE",,"35-39","H"
"3371403.marc.oliva","Marc OLIVA",,,"Spain","ES",,"20-34","H"
"3934403.lluc.hevia","Lluc HEVIA",,,"Spain","ES",,"20-34","H"
"4011619.axel.salomonsson","Axel SALOMONSSON",,,"Sweden","SE",,"20-34","H"
"3461335.erik.ahlrot","Erik AHLROT",,,"Sweden","SE",,"45-49","H"
"1135847.niklas.lundgren","Niklas LUNDGREN","19:00:00",1,"Sweden","SE",,"35-39","H"
"3461335.erik.ahlrot","Erik AHLROT","19:30:00",2,"Sweden","SE",,"45-49","H"
"2153561.carl.smith","Carl SMITH","19:30:00",3,"Sweden","SE",,"35-39","H"
"2519211.anna.andersson","Anna ANDERSSON","20:00:00",4,"Sweden","SE",,"40-44","F"
"986679.anders.ahlgren","Anders AHLGREN","23:00:00",5,"Sweden","SE",,"55-59","H"
"2576705.niklas.hegfalk","Niklas HEGFALK","23:00:00",6,"Sweden","SE",,"35-39","H"
"4011619.axel.salomonsson","Axel SALOMONSSON","23:30:00",7,"Sweden","SE",,"20-34","H"
"3371403.marc.oliva","Marc OLIVA","23:50:00",8,"Spain","ES",,"20-34","H"
"3934403.lluc.hevia","Lluc HEVIA","23:50:00",9,"Spain","ES",,"20-34","H"
"4129091.johan.nordin","Johan NORDIN","15:31:34",1,"Sweden","SE",,"35-39","H"
"1537951.martin.anderberg","Martin ANDERBERG","15:31:34",1,"Sweden","SE",,"40-44","H"
"1355691.joel.christiansson","Joel CHRISTIANSSON","16:08:05",3,"Sweden","SE",,"20-34","H"
"3638035.jenny.wallner","Jenny WALLNER","16:09:47",4,"Sweden","SE",,"40-44","F"
"3293829.andreas.kyrk","Andreas KYRK","16:32:45",5,"Sweden","SE",,"35-39","H"
"2331075.dragos.piscan","Dragos PISCAN","16:46:52",6,"Romania","RO",,"35-39","H"
"4129092.martin.bergman","Martin BERGMAN","16:49:26",7,"Sweden","SE",,"35-39","H"
"2257829.kennie.pussinen","Kennie PUSSINEN","35:16:00",1,"Sweden","SE",,"20-34","H"
"1630559.filip.andersson","Filip ANDERSSON","47:32:48",2,"Sweden","SE",,"20-34","H"
"19155.magnus.hjelmer","Magnus HJELMER","48:49:05",3,"Sweden","SE",,"40-44","H"
"2439805.niklas.yjord","Niklas YJORD","19:51:05",1,"Sweden","SE",,"40-44","H"
"4648853.david.svensson","David SVENSSON","20:23:57",2,"Sweden","SE",,"20-34","H"
"2439841.jonas.eklof","Jonas EKLÖF","22:14:00",3,"Sweden","SE",,"45-49","H"
"2210799.johan.johansson","Johan JOHANSSON","23:57:49",4,"Sweden","SE",,"40-44","H"
"2194053.joakim.nordfeldt","Joakim NORDFELDT","25:28:36",5,"Sweden","SE",,"40-44","H"
"4121595.mats.johannesson","Mats JOHANNESSON","27:08:00",6,"Sweden","SE",,"40-44","H"
"1619803.peter.hallden","Peter HALLDÉN","29:50:00",7,"Sweden","SE",,"35-39","H"
"2439901.bjorn.serving","Björn SERVING","31:08:32",8,"Sweden","SE",,"50-54","H"
"1135795.mikael.svalstrand","Mikael SVALSTRAND","31:19:57",9,"Sweden","SE",,"55-59","H"
"1306001.robert.rundqvist","Robert RUNDQVIST","32:50:00",10,"Spain","ES",,"45-49","H"
"1278985.christopher.doxryd","Christopher DOXRYD","05:50:00",1,"Sweden","SE",,"45-49","H"
"1111365.richard.andersson","Richard ANDERSSON","07:11:52",2,"Sweden","SE",,"50-54","H"
"4121596.conny.stensson","Conny STENSSON","07:18:52",3,"Sweden","SE",,"45-49","H"
"831553.laurent.leloup","Laurent LELOUP","07:23:26",4,"France","FR",,"50-54","H"
"1356379.ulf.kjellin","Ulf KJELLIN","07:53:50",5,"Sweden","SE",,"55-59","H"
"4129092.martin.bergman","Martin BERGMAN","19:16:13",1,"Sweden","SE",,"35-39","H"
"4381142.carina.gustavsson","Carina GUSTAVSSON","20:29:02",2,"Sweden","SE",,"40-44","F"
"1631097.matthias.kohler","Matthias KÖHLER","28:30:10",3,"Germany","DE",,"45-49","H"
"936171.celine.pacesoler","Celine PACE-SOLER",,,"Sweden","SE",,"45-49","F"
"1520453.oscar.cortes","Oscar CORTES",,,"Sweden","SE",,"45-49","H"
"19155.magnus.hjelmer","Magnus HJELMER","47:47:13",1,"Sweden","SE",,"40-44","H"
"828882.staffan.gereonsson","Staffan GEREONSSON","52:50:10",2,"Sweden","SE",,"55-59","H"
"2114577.thomas.gottlind","Thomas GOTTLIND",,,"Sweden","SE",,"40-44","H"
"3638035.jenny.wallner","Jenny WALLNER",,,"Sweden","SE",,"40-44","F"
"2194069.emeli.grafstrom","Emeli GRAFSTRÖM",,,"Sweden","SE",,"40-44","F"
"508475.rickard.ahlberg","Rickard AHLBERG",,,"Sweden","SE",,"50-54","H"
"235190.fredrik.larsson","Fredrik LARSSON","23:18:30",1,"Sweden","SE",,"50-54","H"
"20093.johan.isaksson","Johan ISAKSSON","07:20:41",1,"Sweden","SE",,"40-44","H"
"2576461.robert.aronica","Robert ARONICA","08:52:19",2,"Sweden","SE",,"45-49","H"
"688627.mervi.heiskanen","Mervi HEISKANEN","09:52:55",3,"Sweden","SE",,"35-39","F"
"2457275.glenn.hammarlund","Glenn HAMMARLUND","10:01:10",4,"Sweden","SE",,"45-49","H"
"1242429.erik.michaelsson","Erik MICHAËLSSON","10:11:45",5,"Sweden","SE",,"50-54","H"
"1633205.johanna.michaelsson","Johanna MICHAËLSSON","10:11:45",5,"Sweden","SE",,"50-54","F"
"626443.sasinka.aramis","Aramis SASINKA (Sasinka ARAMIS)","10:18:52",7,"Sweden","SE",,"45-49","H"
"4191886.niclas.king","Niclas KING","10:23:40",8,"Croatia","HR",,"45-49","H"
"310605.martin.clemensson","Martin CLEMENSSON","10:41:12",9,"Sweden","SE",,"50-54","H"
"4191887.alexander.astrand","Alexander ÅSTRAND (Alexander ASTRAND)","11:44:20",10,"Sweden","SE",,"20-34","H"
"1858419.helena.zetterstrom","Helena ZETTERSTRÖM","04:55:55",1,"Sweden","SE",,"45-49","F"
"492331.pererik.johansson","Per-Erik JOHANSSON","05:03:03",2,"Sweden","SE",,"55-59","H"
"1242699.peter.schalin","Peter SCHALIN","05:06:40",3,"Sweden","SE",,"45-49","H"
"4191881.jonas.persson","Jonas PERSSON","05:11:05",4,"Sweden","SE",,"20-34","H"
"587245.niclas.gallentoft","Niclas GÄLLENTOFT","05:13:01",5,"Sweden","SE",,"45-49","H"
"1858425.mathias.lorentson","Mathias LORENTSON","05:32:30",6,"Sweden","SE",,"45-49","H"
"665438.fredrik.sanden","Fredrik SANDEN","05:32:30",6,"Sweden","SE",,"40-44","H"
"3379059.marcus.larsson","Marcus LARSSON","05:44:50",8,"Sweden","SE",,"20-34","H"
"3377885.johan.sundqvist","Johan SUNDQVIST","06:05:30",9,"Sweden","SE",,"20-34","H"
"1306001.robert.rundqvist","Robert RUNDQVIST","06:23:30",10,"Spain","ES",,"45-49","H"
"508471.lisa.dahlberg","Lisa DAHLBERG","06:40:28",11,"Sweden","SE",,"20-34","F"
"4191882.emma.alcen","Emma ALCÉN","06:40:28",11,"Sweden","SE",,"20-34","F"
"1036487.daniel.andersson","Daniel ANDERSSON","06:48:45",13,"Sweden","SE",,"40-44","H"
"1858251.louise.olow","Louise OLOW","07:05:03",14,"Sweden","SE",,"40-44","F"
"2576879.conny.eanderberg","Conny E ANDERBERG","07:15:55",15,"Sweden","SE",,"50-54","H"
"3184523.fredrik.reinhold","Fredrik REINHOLD","07:19:55",16,"Sweden","SE",,"50-54","H"
"4191884.anna.grahn","Anna GRAHN","07:19:55",16,"Sweden","SE",,"45-49","F"
"492175.susanna.isegran","Susanna ISEGRAN","07:19:55",16,"Sweden","SE",,"50-54","F"
"4110108.cecilia.ridderstedt","Cecilia RIDDERSTEDT","07:26:00",19,"Sweden","SE",,"45-49","F"
"4000312.karin.olausson","Karin OLAUSSON","07:41:20",20,"Sweden","SE",,"50-54","F"
"3278111.niclas.grimmer","Niclas GRIMMER","07:41:20",20,"Sweden","SE",,"55-59","H"
"1858491.andreas.romeborn","Andreas ROMEBORN","07:54:20",22,"Sweden","SE",,"40-44","H"
"484183.tristan.kipfer","Tristan KIPFER","03:27:01",1,"Switzerland","CH",,"20-34","H"
"1036169.fredrik.tedborn","Fredrik TEDBORN","03:44:34",2,"Sweden","SE",,"50-54","H"
"508269.conny.forne","Conny FORNE","04:12:41",3,"Sweden","SE",,"35-39","H"
"3950753.daniel.linden","Daniel LINDÉN","04:18:23",4,"Sweden","SE",,"40-44","H"
"4303009.johannes.erlandsson","Johannes ERLANDSSON","04:24:50",5,"Sweden","SE",,"50-54","H"
"4727776.anna.hadenius","Anna HADENIUS","04:34:58",6,"Sweden","SE",,"55-59","F"
"4715816.ake.berglund","Åke BERGLUND (Ake BERGLUND)","04:35:48",7,"Sweden","SE",,"50-54","H"
"4213090.christopher.salwey","Christopher SALWEY","04:40:13",8,"Sweden","SE",,"20-34","H"
"4198331.jakob.kostolny","Jakob KOSTOLNY","04:46:26",9,"Sweden","SE",,"20-34","H"
"1620245.per.jamtelid","Per JÄMTELID","04:48:18",10,"Sweden","SE",,"55-59","H"
"4674295.therese.carlsson","Therese CARLSSON","04:50:49",11,"Sweden","SE",,"45-49","F"
"127827.vesamikael.melto","Vesa Mikael MELTO","04:54:57",12,"Sweden","SE",,"50-54","H"
"4710546.isabelle.staub","Isabelle STAUB","04:56:56",13,"Sweden","SE",,"50-54","F"
"1632585.john.rosen","John ROSÉN","05:00:31",14,"Sweden","SE",,"40-44","H"
"4173037.linda.lindberg","Linda LINDBERG","05:02:06",15,"Sweden","SE",,"45-49","F"
"2194081.fredrik.piehl","Fredrik PIEHL","05:03:27",16,"Sweden","SE",,"50-54","H"
"665531.anders.harting","Anders HARTING","05:04:22",17,"Sweden","SE",,"50-54","H"
"4681622.tommy.lonn","Tommy LÖNN","05:05:15",18,"Sweden","SE",,"45-49","H"
"4715830.anton.gyllenhammar","Anton GYLLENHAMMAR","05:07:22",19,"Sweden","SE",,"20-34","H"
"4509468.nikko.takamatsu","Nikko TAKAMATSU","05:08:11",20,"Sweden","SE",,"20-34","H"
"4727778.david.eriksson","David ERIKSSON","05:10:56",21,"Sweden","SE",,"35-39","H"
"4727780.pierre.reldin","Pierre RELDIN","05:11:10",22,"Sweden","SE",,"40-44","H"
"4680898.richard.jorven","Richard JORVÉN","05:13:03",23,"Sweden","SE",,"50-54","H"
"2292435.ulf.svensson","Ulf SVENSSON","05:14:05",24,"Sweden","SE",,"55-59","H"
"4727782.lisa.bornscheuer","Lisa BORNSCHEUER","05:14:42",25,"Germany","DE",,"20-34","F"
"730166.ainars.kumpins","Ainars KUMPINS","07:11:48",1,"Latvia","LV",,"35-39","H"
"2169467.shanti.pistoforsberg","Shanti PISTO-FORSBERG","07:28:25",2,"Sweden","SE",,"40-44","H"
"4301451.andreas.truskog","Andréas TRUSKOG","08:00:40",3,"Sweden","SE",,"35-39","H"
"2576543.richard.house","Richard HOUSE","08:14:03",4,"United Kingdom","GB",,"35-39","H"
"4727724.andrew.kaminski","Andrew KAMINSKI","08:18:50",5,"Sweden","SE",,"40-44","H"
"4727726.per.alsterdal","Per ALSTERDAL","08:39:37",6,"Sweden","SE",,"40-44","H"
"4727728.henrik.wahlberg","Henrik WAHLBERG","08:46:20",7,"Sweden","SE",,"35-39","H"
"4715776.filip.reusens","Filip REUSENS","09:02:25",8,"Belgium","BE",,"20-34","H"
"4715718.thijs.reus","Thijs REUS","09:03:14",9,"Sweden","SE",,"40-44","H"
"1634399.johan.ekenstierna","Johan EKENSTIERNA","09:13:21",10,"Sweden","SE",,"45-49","H"
"3816125.niclas.kullgard","Niclas KULLGARD","09:23:38",11,"Sweden","SE",,"50-54","H"
"4727732.malin.forsberg","Malin FORSBERG","09:27:14",12,"Sweden","SE",,"20-34","F"
"4727734.gustav.pettersson","Gustav PETTERSSON","09:32:55",13,"Sweden","SE",,"35-39","H"
"532672.markus.forsstrom","Markus FORSSTRÖM","09:34:23",14,"Sweden","SE",,"35-39","H"
"508303.jenny.josefsson","Jenny JOSEFSSON","09:38:16",15,"Sweden","SE",,"45-49","F"
"4383918.philip.thor","Philip THOR","09:38:38",16,"Sweden","SE",,"40-44","H"
"1917055.hugo.moller","Hugo MOLLER","09:46:46",17,"France","FR",,"20-34","H"
"4715724.galen.mack","Galen MACK","09:48:02",18,"Australia","AU",,"40-44","H"
"4727736.joe.newman","Joe NEWMAN","09:53:05",19,"Sweden","SE",,"20-34","H"
"665520.tobias.castensson","Tobias CASTENSSON","09:55:25",20,"Sweden","SE",,"45-49","H"
"4727738.johan.soderblom","Johan SÖDERBLOM","09:55:33",21,"Sweden","SE",,"40-44","H"
"1024891.marco.studer","Marco STUDER","09:55:55",22,"Switzerland","CH",,"20-34","H"
"1353553.stefan.fastesson","Stefan FASTESSON","09:58:37",23,"Sweden","SE",,"50-54","H"
"1634611.alexander.persson","Alexander PERSSON","09:59:52",24,"Sweden","SE",,"20-34","H"
"4193264.anton.larsson","Anton LARSSON","10:02:48",25,"Sweden","SE",,"20-34","H"
"480480.jonas.brannmyr","Jonas BRÄNNMYR","14:39:52",1,"Sweden","SE",,"35-39","H"
"4182611.tomas.larsson","Tomas LARSSON","14:49:11",2,"Sweden","SE",,"45-49","H"
"665356.jorgen.lassila","Jörgen LASSILA","14:57:30",3,"Sweden","SE",,"45-49","H"
"508501.joar.palm","Joar PALM","16:41:47",4,"Sweden","SE",,"40-44","H"
"696225.anna.winther","Anna WINTHER","17:53:20",5,"Sweden","SE",,"35-39","F"
"1337347.oskar.salonen","Oskar SALONEN","18:08:36",6,"Sweden","SE",,"20-34","H"
"4141373.lukas.nassil","Lukas NÄSSIL","18:08:36",6,"Sweden","SE",,"20-34","H"
"1858423.nils.janhall","Nils JANHÄLL","18:18:11",7,"Sweden","SE",,"50-54","H"
"438007.anders.hellner","Anders HELLNER","19:12:19",8,"Sweden","SE",,"40-44","H"
"692111.kalman.vanky","Kalman VANKY","20:45:22",9,"Sweden","SE",,"55-59","H"
"692070.sofia.attelind","Sofia ATTELIND","21:06:12",10,"Sweden","SE",,"40-44","F"
"3394551.karl.junker","Karl JUNKER","21:21:21",11,"Sweden","SE",,"45-49","H"
"1036559.elisabeth.ankarcrona","Elisabeth ANKARCRONA","21:26:00",12,"Sweden","SE",,"40-44","F"
"438654.mattias.almroth","Mattias ALMROTH","22:02:30",13,"Sweden","SE",,"50-54","H"
"551742.henrik.rosencrantz","Henrik ROSENCRANTZ","22:03:42",14,"Sweden","SE",,"55-59","H"
"4182614.josefin.granberg","Josefin GRANBERG","23:54:59",15,"Sweden","SE",,"20-34","F"
"4182615.micael.granberg","Micael GRANBERG","23:54:59",16,"Sweden","SE",,"55-59","H"
"1620109.anneli.lindberg","Anneli LINDBERG","25:08:54",17,"Sweden","SE",,"55-59","F"
"2234333.roger.kjellsson","Roger KJELLSSON","18:12:00",1,"Sweden","SE",,"50-54","H"
"702811.adam.bernhoff","Adam BERNHOFF","20:19:38",2,"Sweden","SE",,"40-44","H"
"1858663.bjorn.persson","Björn PERSSON","21:24:49",3,"Sweden","SE",,"35-39","H"
"1278985.christopher.doxryd","Christopher DOXRYD","21:34:12",4,"Sweden","SE",,"45-49","H"
,"Anonymous","22:28:25",5,"Sweden","SE",,"50-54","H"
"2519211.anna.andersson","Anna ANDERSSON","22:43:07",6,"Sweden","SE",,"40-44","F"
"665357.pal.andersson","Pål ANDERSSON","22:43:07",6,"Sweden","SE",,"40-44","H"
"3816085.jorgen.agerbjer","Jörgen AGERBJER","23:09:03",8,"Sweden","SE",,"40-44","H"
"861324.jens.nielsen","Jens NIELSEN","23:16:06",9,"Sweden","SE",,"40-44","H"
"281805.andrew.dunlop","Andrew DUNLOP","23:22:43",10,"Australia","AU",,"45-49","H"
"648254.christian.sorensen","Christian SORENSEN","23:22:43",10,"United States","US",,"45-49","H"
"1843301.niklas.hermansson","Niklas HERMANSSON","23:22:43",10,"Sweden","SE",,"35-39","H"
"1279061.fredrik.palm","Fredrik PALM","23:22:43",10,"Sweden","SE",,"45-49","H"
"2237005.daniel.jonsson","Daniel JONSSON","24:04:37",14,"Sweden","SE",,"45-49","H"
"360504.christer.tinnerholm","Christer TINNERHOLM","24:34:12",15,"Sweden","SE",,"50-54","H"
"532825.magnus.seger","Magnus SEGER","24:34:12",15,"Sweden","SE",,"55-59","H"
"861425.mattias.lindqvist","Mattias LINDQVIST","24:34:12",15,"Sweden","SE",,"45-49","H"
"911675.erik.edespong","Erik EDESPONG","25:25:10",18,"Sweden","SE",,"35-39","H"
"1036691.daniel.larsson","Daniel LARSSON","25:43:24",19,"Sweden","SE",,"35-39","H"
"3116637.roger.nimbratt","Roger NIMBRATT","27:11:29",20,"Sweden","SE",,"45-49","H"
,"Anonymous","27:46:17",21,"Sweden","SE",,"55-59","H"
"4186324.mikael.anderssson","Mikael ANDERSSSON","27:55:29",22,"Sweden","SE",,"40-44","H"
"1355779.joe.walfridson","Joe WALFRIDSON","27:55:49",23,"Sweden","SE",,"45-49","H"
"3277833.ragnar.bergvik","Ragnar BERGVIK","30:26:10",24,"Sweden","SE",,"35-39","H"
"2271159.per.svensson","Per SVENSSON","30:50:09",25,"Sweden","SE",,"50-54","H"
"37046.sandra.lundqvist","Sandra LUNDQVIST","33:57:16",1,"Sweden","SE",,"40-44","F"
"662141.henrik.roos","Henrik ROOS","33:57:16",1,"Sweden","SE",,"40-44","H"
"1340705.kristian.kjeldsen","Kristian KJELDSEN","35:15:17",3,"Denmark","DK",,"50-54","H"
"564353.josemanuel.mayaalvarez","José Manuel MAYA ALVAREZ","35:15:17",3,"Spain","ES",,"50-54","H"
"1016487.peter.jordow","Peter JORDOW","37:08:40",5,"Sweden","SE",,"40-44","H"
"551612.fredrik.uddgren","Fredrik UDDGREN","37:12:25",6,"Sweden","SE",,"45-49","H"
"410664.enar.warfvinge","Enar WARFVINGE","37:55:05",7,"Sweden","SE",,"35-39","H"
"551758.magnus.johansson","Magnus JOHANSSON","38:42:11",8,"Sweden","SE",,"45-49","H"
"1634909.dan.svensson","Dan SVENSSON","39:56:00",9,"Sweden","SE",,"60-64","H"
"665857.fredrik.lahnn","Fredrik LÄHNN","41:44:00",10,"Sweden","SE",,"40-44","H"
"1111089.daniel.baath","Daniel BÅÅTH","41:50:20",11,"Sweden","SE",,"40-44","H"
"360506.henrik.kockum","Henrik KOCKUM","43:03:45",12,"Sweden","SE",,"55-59","H"
"508343.erik.billerby","Erik BILLERBY","43:38:21",13,"Sweden","SE",,"45-49","H"
"665735.alexander.poldme","Alexander POLDME","45:33:48",14,"Sweden","SE",,"35-39","H"
"55231.hoskuldur.kristvinsson","Höskuldur KRISTVINSSON","55:33:29",15,"Iceland","IS",,"70-74","H"
"662087.marcus.broman","Marcus BROMAN",,,"Sweden","SE",,"40-44","H"
"665762.peter.fansjo","Peter FANSJÖ",,,"Sweden","SE",,"50-54","H"
"532753.joakim.fagerstrom","Joakim FAGERSTRÖM",,,"Sweden","SE",,"40-44","H"
"1135803.mattias.frank","Mattias FRANK",,,"Sweden","SE",,"45-49","H"
"4191880.par.siko","Pär SIKÖ",,,"Sweden","SE",,"45-49","H"
"662160.roger.lofstroem","Roger LOFSTROEM",,,"Sweden","SE",,"55-59","H"
"2272137.tor.lindqvist","Tor LINDQVIST","14:45:00",1,"Sweden","SE",,"45-49","H"
"574260.linnea.backstrom","Linnea BÄCKSTRÖM","14:46:00",2,"Sweden","SE",,"45-49","F"
"2576577.oscar.flackejacobson","Oscar FLACKÉ JACOBSON","14:46:00",2,"Sweden","SE",,"45-49","H"
"1355719.andreas.dahlgren","Andreas DAHLGREN","14:47:00",4,"Sweden","SE",,"45-49","H"
"831555.patrik.johansson","Patrik JOHANSSON","14:47:00",4,"Sweden","SE",,"45-49","H"
"1635065.mats.karlsson","Mats KARLSSON","14:47:00",4,"Sweden","SE",,"50-54","H"
"911697.mattias.kristensson","Mattias KRISTENSSON","14:47:00",4,"Sweden","SE",,"35-39","H"
"274228.sebastien.spehler","Sebastien SPEHLER","06:09:45",1,"France","FR",,"20-34","H"
"689972.viktor.stenqvist","Viktor STENQVIST","06:22:50",2,"Sweden","SE",,"20-34","H"
"185010.david.laney","David LANEY","06:23:50",3,"United States","US",,"20-34","H"
"1036611.erik.anfaelt","Erik ANFAELT","06:31:35",4,"Sweden","SE",,"45-49","H"
"3976344.josef.hamber","Josef HAMBER","06:33:29",5,"Sweden","SE",,"35-39","H"
"44806.jonas.buud","Jonas BUUD","06:37:10",6,"Sweden","SE",,"45-49","H"
"1630485.fredrik.eriksson","Fredrik ERIKSSON","06:45:07",7,"Sweden","SE",,"40-44","H"
"1516417.aleksandra.morozova","Aleksandra MOROZOVA","06:48:36",8,"Russia","RU",,"20-34","F"
"301488.dominika.stelmach","Dominika STELMACH","07:01:33",10,"Poland","PL",,"35-39","F"
"3342579.malin.barrulf","Malin BARRULF","07:32:23",13,"Sweden","SE",,"20-34","F"
"691505.lina.karlsson","Lina KARLSSON","07:36:57",16,"Sweden","SE",,"40-44","F"
"4227669.petra.klevmar","Petra KLEVMAR","07:58:44",22,"Sweden","SE",,"50-54","F"
"4228235.kristofer.laas","Kristofer LAAS","02:41:04",1,"Sweden","SE",,"20-34","H"
"561682.klas.johansson","Klas JOHANSSON","02:43:38",2,"Sweden","SE",,"40-44","H"
"696352.joacim.lantz","Joacim LANTZ","02:49:58",3,"Sweden","SE",,"20-34","H"
"696376.marcus.nilsson","Marcus NILSSON","02:53:59",4,"Sweden","SE",,"20-34","H"
"508707.roman.ryapolov","Roman RYAPOLOV","02:56:11",5,"Sweden","SE",,"35-39","H"
"1630513.liselotte.hellsten","Liselotte HELLSTEN","03:05:38",8,"Sweden","SE",,"35-39","F"
"508236.sophia.sundberg","Sophia SUNDBERG","03:08:52",9,"Sweden","SE",,"35-39","F"
"692021.sofia.byhlinder","Sofia BYHLINDER","03:18:26",13,"Sweden","SE",,"35-39","F"
"428371.tessa.chesser","Tessa CHESSER","03:22:55",15,"United States","US",,"20-34","F"
"3378483.camilla.berggren","Camilla BERGGREN","03:23:36",16,"Sweden","SE",,"45-49","F"
"3189633.juliusz-.stromberg","Julius Z. STRÖMBERG","08:01:31",1,"Sweden","SE",,"20-34","H"
"551608.patrik.lindegardh","Patrik LINDEGARDH","08:06:23",2,"Sweden","SE",,"40-44","H"
"691387.johan.stallberg","Johan STÄLLBERG","08:34:59",3,"Sweden","SE",,"40-44","H"
"696392.markus.lindegardh","Markus LINDEGÅRDH","08:48:32",4,"Sweden","SE",,"35-39","H"
"1003179.johan.hartelius","Johan HARTELIUS","08:57:10",5,"Sweden","SE",,"40-44","H"
"696449.erik.tengstrand","Erik TENGSTRAND","09:10:33",6,"Sweden","SE",,"35-39","H"
"3995961.lars.ilis","Lars ILIS","09:17:07",7,"Sweden","SE",,"35-39","H"
"665723.johanna.bygdell","Johanna BYGDELL","09:21:29",8,"Sweden","SE",,"35-39","F"
"4200821.johan.falk","Johan FALK","09:37:31",9,"Sweden","SE",,"35-39","H"
"508252.jan.svardhagen","Jan SVARDHAGEN","10:03:55",10,"Sweden","SE",,"50-54","H"
"2292399.robert.krouwel","Robert KROUWEL","10:22:14",11,"Sweden","SE",,"20-34","H"
"2082983.ola.hellstrom","Ola HELLSTROM","10:33:52",12,"Sweden","SE",,"40-44","H"
"508361.anders.bostrom","Anders BOSTRÖM","10:40:53",13,"Sweden","SE",,"40-44","H"
"2194053.joakim.nordfeldt","Joakim NORDFELDT","10:53:46",14,"Sweden","SE",,"40-44","H"
"1135819.sofie.stromberg","Sofie STROMBERG","10:56:18",15,"Sweden","SE",,"40-44","F"
"4121595.mats.johannesson","Mats JOHANNESSON","10:58:18",16,"Sweden","SE",,"40-44","H"
"4193570.mikael.mattsson","Mikael MATTSSON","10:58:56",17,"Sweden","SE",,"50-54","H"
"1858379.linda.hallberg","Linda HALLBERG","11:06:53",18,"Sweden","SE",,"40-44","F"
"2114577.thomas.gottlind","Thomas GOTTLIND","11:15:16",19,"Sweden","SE",,"40-44","H"
"4200822.ludvig.eriksson","Ludvig ERIKSSON","11:16:05",20,"Sweden","SE",,"20-34","H"
"4200823.sven.engstrom","Sven ENGSTRÖM","11:19:41",21,"Sweden","SE",,"20-34","H"
"3394849.fredrik.stodne","Fredrik STODNE","11:33:45",22,"Sweden","SE",,"45-49","H"
"4200824.claes.ivarsson","Claes IVARSSON","11:34:21",23,"Sweden","SE",,"35-39","H"
