"id","eventName","name","category","themeColor","themeColorIsDark","logoWs","url","distance","elevationGain","hasResults","uriResults","startDate","startCountry","startPlace","year","level","nbStones"
83432,"Salming Idre Fjällmaraton","Renens Stig 45 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://idrefjallmaraton.se","45.00",1400,true,"13015.salmingidrefjallmaratonrenensstig45km.2023","2023-Aug-19","SE","Idre, Sweden",2023,"qualifier",0
97092,"Vasaloppet Ultravasan","Ultravasan 45","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.vasaloppet.se","44.30",580,true,"3022.vasaloppetultravasanultravasan45.2023","2023-Aug-19","SE","Oxberg, Sweden",2023,"qualifier",0
95552,"TGS - Trail Genom Skåne","TGS 50","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.sportstiming.se/event/12888","47.00",710,true,"40280.tgs-trailgenomskanetgs50.2023","2023-Aug-20","SE","Hovdala, Sweden",2023,"qualifier",0
85934,"Sörmlands 100","Sörmlands 100 Mile Endurance Run","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.sormlands100.com/","164.00",2442,true,"32436.sormlands100sormlands100mileendurancerun.2023","2023-Sep-15","SE","Herresta, Mariefred, Sweden",2023,"qualifier",0
93038,"Mossarun","Mossarun 24h/50miles","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","85.00",1950,true,"34884.mossarunmossarun24h-50miles.2023","2023-Sep-16","SE","Lindås, Sweden",2023,"qualifier",0
85936,"Sörmlands 100","Sörmlands 100  55km Trail Ultra Marathon","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.sormlands100.com/","55.00",450,true,"36050.sormlands100sormlands10055kmtrailultramarathon.2023","2023-Sep-16","SE","Tystberga, Sweden",2023,"qualifier",0
88800,"H2 Ultra","H2 Ultra 50K","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.okskogsvargarna.se","50.00",550,true,"37280.h2ultrah2ultra50k.2023","2023-Sep-16","SE","Vargön, Sweden",2023,"qualifier",0
93044,"Mossarun","Mossarun 24h/100miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.mossarun.com/","170.00",3896,false,"39056.mossarunmossarun24h-100miles.2023","2023-Sep-16","SE","Lindås, Sweden",2023,"qualifier",0
93042,"Mossarun","mossarun 24h/136k","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","136.00",3150,false,"34886.mossarunmossarun24h-136k.2023","2023-Sep-16","SE","Lindås, Sweden",2023,"qualifier",0
93040,"Mossarun","Mossarun 24h/100k","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.mossarun.com/","103.00",2360,true,"34882.mossarunmossarun24h-100k.2023","2023-Sep-16","SE","Lindås, Sweden",2023,"qualifier",0
85930,"Sörmlands 100","Sörmlands 100  100km Trail Ultra Marathon ","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.sormlands100.com/","100.00",1446,true,"32438.sormlands100sormlands100100kmtrailultramarathon.2023","2023-Sep-16","SE","Erikslund, Gnesta, Sweden",2023,"qualifier",0
88798,"H2 Ultra","H2 Ultra 100K","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://www.okskogsvargarna.se","100.00",1100,true,"37278.h2ultrah2ultra100k.2023","2023-Sep-16","SE","Vargön, Sweden",2023,"qualifier",0
105340,"Östgöta Ultra Trail","Östgöta Ultra Trail 54k","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.ostgotaultratrail.com","54.00",1700,true,"34836.ostgotaultratrailostgotaultratrail54k.2023","2023-Oct-01","SE","Kisa, Sweden",2023,"qualifier",0
95522,"Gotland Ultramarathon","Gotland Ultramarathon - GUM 50km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://gotlandultramarathon.se/","50.00",380,true,"40254.gotlandultramarathongotlandultramarathon-gum50km.2023","2023-Oct-07","SE","Hallshuk, Sweden",2023,"qualifier",0
86420,"Kullamannen by UTMB","Ultra 100 Miles","100m","#f42525",true,"/Common/categories/100M","http://kullamannen.utmb.world","158.80",2586,true,"10675.kullamannenbyutmbultra100miles.2023","2023-Nov-03","SE","Höganäs, Sweden",2023,"serie",4
86422,"Kullamannen by UTMB","Seventh Seal","50k","#fc5a00",true,"/Common/categories/50K","http://kullamannen.utmb.world","57.30",834,true,"30675.kullamannenbyutmbseventhseal.2023","2023-Nov-04","SE","Båstad, Sweden",2023,"serie",2
99272,"Sätila Trail","85 km","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://www.satilatrail.se/","85.00",2100,true,"6099.satilatrail85km.2023","2023-Nov-11","SE","Sätila, Sweden",2023,"qualifier",0
99270,"Sätila Trail","43 km","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.satilatrail.se/","43.00",762,true,"6835.satilatrail43km.2023","2023-Nov-11","SE","Sätila, Sweden",2023,"qualifier",0
98860,"Trans Scania Winter","Trans Scania Winter","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.transscania.se","246.00",2844,true,"35412.transscaniawintertransscaniawinter.2024","2024-Jan-12","SE","Bjärred, Sweden",2024,"qualifier",0
101230,"Skogs-Ultra Storstenshöjden SUS","50 miles","100k","#7ddf65",true,"/Common/categories/qualifiers100K","https://storstenshojden50milesoch100miles.wordpress.com/","81.00",5400,false,"28245.skogs-ultrastorstenshojdensus50miles.2024","2024-Jan-13","SE","Garphyttan, Sweden",2024,"qualifier",0
101234,"Storstenshöjden Skyrace","Storstenshöjden Skyrace","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.instagram.com/storstenshojden100miles/","41.00",2700,true,"42878.storstenshojdenskyracestorstenshojdenskyrace.2024","2024-Jan-13","SE","Sweden, Sweden",2024,"qualifier",0
97496,"Montane Arctic Spine Races","Montane Arctic Spine  Spine","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.thespinerace.com/race/arctic/","472.00",11000,false,"41246.montanearcticspineracesmontanearcticspinespine.2024","2024-Feb-06","SE","Abisko, Sweden",2024,"qualifier",0
97498,"Montane Arctic Spine Races","Montane Arctic Spine  Challenger","100m","#f42525",true,"/Common/categories/qualifiers100M","https://www.thespinerace.com/race/arctic/","207.00",4000,false,"41248.montanearcticspineracesmontanearcticspinechallenger.2024","2024-Feb-06","SE","Abisko, Sweden",2024,"qualifier",0
91152,"Tjörnarparen - Trail Ultra","50 miles","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.tjornarparen.se","81.10",1140,false,"11215.tjornarparen-trailultra50miles.2024","2024-Feb-10","SE","Tjörnarp, Sweden",2024,"qualifier",0
91158,"Tjörnarparen - Trail Ultra","50K","50k","#fc5a00",true,"/Common/categories/qualifiers50K","http://www.tjornarparen.se","51.20",680,false,"6629.tjornarparen-trailultra50k.2024","2024-Feb-10","SE","Tjörnarp, Sweden",2024,"qualifier",0
91154,"Tjörnarparen - Trail Ultra","100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","http://www.tjornarparen.se","162.40",2618,false,"11213.tjornarparen-trailultra100miles.2024","2024-Feb-10","SE","Tjörnarp, Sweden",2024,"qualifier",0
91156,"Tjörnarparen - Trail Ultra","100K","100k","#7ddf65",true,"/Common/categories/qualifiers100K","http://www.tjornarparen.se","102.30",1390,false,"6631.tjornarparen-trailultra100k.2024","2024-Feb-10","SE","Tjörnarp, Sweden",2024,"qualifier",0
105974,"Skåne Frozen Trail","SFT 60K","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://www.sportstiming.se/event/11283","60.80",1040,true,"44708.skanefrozentrailsft60k.2024","2024-Mar-02","SE","Snogeholm, Sweden",2024,"qualifier",0
101640,"Älvdalen Winter Trail","Älvdalen Winter Trail 58 KM","50k","#fc5a00",true,"/Common/categories/qualifiers50K","https://swedenrunners.se/alvdalen-winter-trail/","58.00",1450,true,"38448.alvdalenwintertrailalvdalenwintertrail58km.2024","2024-Mar-09","SE","Älvdalen, Sweden",2024,"qualifier",0
96910,"GotRun Trail Fest","""DUBBLE"" 100 miles","100m","#f42525",true,"/Common/categories/qualifiers100M","https://runraisers.com/","161.70",1174,true,"27362.gotruntrailfest-dubble-100miles.2024","2024-Mar-15","SE","Ljugarn, Sweden",2024,"qualifier",0
